employee_id,first_name,last_name,date_of_birth,ssn,job_title,manager,home_address,phone,favorite_movie_quote,network_ip,city,state,postal_code,country,email,favorite_color,avatar,salary,hire_date,department,emergency_contact_name,emergency_contact_phone,emergency_contact_relationship,years_of_experience,education_level,marital_status,gender,ethnicity,languages_spoken,employee_status
1,Anna-diana,Fury,3/2/1981,201-62-8414,Assistant Media Planner,Anna-diana Fury,1 Schmedeman Road,958-608-7034,unleash real-time e-markets,89.179.115.168,Ljungskile,Västra Götaland,459 30,Sweden,afury0@hud.gov,red,https://robohash.org/cumqueetqui.png?size=50x50&set=set1,34403.55,7/30/2021,Research and Development,Anna-diana Fury,921-508-2199,spouse,4,master's degree,married,Female,Asian,Tajik,active
2,Onfroi,McFadyen,11/18/1963,353-71-2784,Senior Quality Engineer,Onfroi McFadyen,739 Mifflin Center,909-763-3766,aggregate synergistic web-readiness,246.175.149.8,Meirinhas,Leiria,3105-222,Portugal,omcfadyen1@wisc.edu,green,https://robohash.org/iurealiquamasperiores.png?size=50x50&set=set1,66716.58,5/11/2019,Research and Development,Onfroi McFadyen,127-435-7964,spouse,21,doctorate,widowed,Male,Aleut,Icelandic,inactive
3,Sergei,Caras,5/2/1987,872-53-3356,Chemical Engineer,Sergei Caras,582 Haas Point,867-490-6880,disintermediate real-time web services,28.231.177.162,Ordynskoye,,633260,Russia,scaras2@jugem.jp,red,https://robohash.org/corporisreiciendisharum.png?size=50x50&set=set1,59369.78,7/6/2020,Research and Development,Sergei Caras,579-908-8890,spouse,16,master's degree,divorced,Male,Puerto Rican,Lao,inactive
4,Joy,Goodrich,3/14/1963,195-77-9471,Software Engineer IV,Joy Goodrich,4 Dennis Trail,948-931-3776,exploit open-source solutions,25.84.159.1,Mawlamyinegyunn,,,Myanmar,jgoodrich3@ezinearticles.com,red,https://robohash.org/sequinumquamfugit.png?size=50x50&set=set1,91464.64,10/6/2012,Engineering,Joy Goodrich,638-368-4841,friend,25,high school,divorced,Female,Uruguayan,Georgian,inactive
5,Brittan,Siege,1/17/1967,375-65-8985,Environmental Tech,Brittan Siege,128 Briar Crest Crossing,649-845-7179,optimize 24/7 vortals,5.61.192.201,Akhfennir,,,Morocco,bsiege4@desdev.cn,red,https://robohash.org/mollitiainciduntquae.png?size=50x50&set=set1,38833.84,12/3/2015,Sales,Brittan Siege,195-393-9015,parent,12,doctorate,widowed,Female,Cheyenne,German,active
6,Kelcy,Pawelek,2/17/1969,340-55-1172,Systems Administrator III,Kelcy Pawelek,07656 Vernon Crossing,333-355-0367,deploy dynamic interfaces,65.177.220.110,Lac La Biche,Alberta,E1W,Canada,kpawelek5@pagesperso-orange.fr,blue,https://robohash.org/beataemaioresest.png?size=50x50&set=set1,39238.57,10/24/2021,Product Management,Kelcy Pawelek,646-613-6117,spouse,6,high school,divorced,Female,Creek,Luxembourgish,on leave
7,Hana,Larrington,9/8/1989,274-90-3626,Chief Design Engineer,Hana Larrington,5580 Fuller Hill,983-324-6936,scale mission-critical solutions,9.73.145.130,Lingkou,,,China,hlarrington6@umn.edu,red,https://robohash.org/idlaborummolestiae.png?size=50x50&set=set1,59525.71,9/16/2014,Legal,Hana Larrington,638-842-3052,parent,17,high school,widowed,Female,Spaniard,Thai,active
8,Ezekiel,Kaser,8/10/1973,498-39-3338,VP Product Management,Ezekiel Kaser,69 Helena Pass,744-280-8673,deliver extensible niches,216.12.137.53,Kosh-Agach,,649780,Russia,ekaser7@blogger.com,red,https://robohash.org/etdoloresveritatis.png?size=50x50&set=set1,47436.77,8/1/2010,Human Resources,Ezekiel Kaser,863-859-4774,friend,22,master's degree,married,Male,Bangladeshi,Hebrew,on leave
9,Florencia,Willcock,10/26/1965,820-32-2630,Junior Executive,Florencia Willcock,5 Dunning Place,358-634-3806,seize strategic relationships,57.176.156.33,Ko Samui,,84140,Thailand,fwillcock8@google.pl,green,https://robohash.org/autadab.png?size=50x50&set=set1,113391.38,9/26/2021,Business Development,Florencia Willcock,241-186-8560,friend,4,doctorate,single,Female,Honduran,Portuguese,active
10,Nappie,Bohlin,11/9/1982,731-19-2409,Information Systems Manager,Nappie Bohlin,08981 Brickson Park Pass,284-600-5137,utilize holistic paradigms,93.254.219.47,Mojosari,,,Indonesia,nbohlin9@naver.com,red,https://robohash.org/iustoblanditiisvel.png?size=50x50&set=set1,94576.86,6/26/2017,Product Management,Nappie Bohlin,438-180-5187,sibling,15,doctorate,divorced,Male,Cheyenne,Tetum,on leave
11,Lenna,McCoughan,12/2/1969,555-45-1019,Accountant IV,Lenna McCoughan,1 Trailsway Road,221-235-5188,cultivate sexy paradigms,133.174.203.55,Mancos,,,Peru,lmccoughana@rakuten.co.jp,blue,https://robohash.org/sitvoluptatedistinctio.png?size=50x50&set=set1,114928.05,1/26/2013,Business Development,Lenna McCoughan,803-438-2995,spouse,10,master's degree,divorced,Female,Japanese,Greek,active
12,Jermain,Bromehed,8/27/1965,437-47-3785,Accounting Assistant III,Jermain Bromehed,27 Briar Crest Drive,809-840-4143,deliver sexy action-items,239.33.225.33,Liangbing,,,China,jbromehedb@google.com.hk,green,https://robohash.org/doloressintin.png?size=50x50&set=set1,89613.56,5/31/2013,Human Resources,Jermain Bromehed,749-348-1907,spouse,2,associate's degree,married,Male,Yuman,Bosnian,inactive
